invoice_no,product_id,customer_id,country_id,date_id,quantity,unit_price,revenue
566534,367,,1,230,2,3.29,6.58
581001,29,12583.0,2,303,24,3.75,90.0
540350,289,18283.0,1,23,1,1.25,1.25
546384,670,15311.0,1,78,24,2.55,61.2
567656,461,14096.0,1,237,1,3.29,3.29
575477,3609,,1,279,2,2.46,4.92
538168,222,14702.0,1,8,1,2.55,2.55
536638,293,16244.0,1,2,24,0.55,13.2
546437,2400,16807.0,1,80,25,0.42,10.5
550180,1227,14163.0,1,107,8,7.95,63.6
538349,464,,1,9,1,2.51,2.51
566094,4788,17965.0,1,227,2,3.75,7.5
580983,3357,,1,302,1,0.83,0.83
574143,1085,18041.0,1,274,84,0.39,32.76
567476,2816,14859.0,1,236,12,1.25,15.0
572322,378,13138.0,1,265,12,2.1,25.200000000000003
579093,69,13081.0,1,295,6,2.55,15.3
569846,409,13422.0,1,250,12,2.1,25.200000000000003
565396,141,,1,221,4,4.13,16.52
552472,415,16503.0,1,123,4,3.75,15.0
560271,854,16474.0,1,181,1,2.1,2.1
552508,2616,,1,123,1,0.83,0.83
546091,1501,14936.0,17,76,12,2.55,30.6
573320,4111,15513.0,1,270,12,1.65,19.8
580981,766,16201.0,1,302,10,0.85,8.5
579297,1171,,1,296,1,6.63,6.63
563565,1377,17338.0,1,208,4,1.95,7.8
577483,221,14502.0,1,288,1,4.95,4.95
552234,1757,,1,121,1,4.13,4.13
554511,871,,1,136,1,0.83,0.83
574240,743,15998.0,1,274,6,1.25,7.5
550438,10,15265.0,1,110,16,1.69,27.04
575334,4944,14493.0,1,279,20,0.79,15.8
548860,578,13263.0,1,98,2,0.65,1.3
546164,164,15939.0,1,77,12,0.85,10.2
581456,1268,17530.0,1,304,2,0.39,0.78
552563,721,17597.0,1,124,48,0.85,40.8
561651,2606,,1,191,1,0.83,0.83
539050,372,12577.0,2,13,2,1.65,3.3
558321,4284,,1,165,2,4.13,8.26
573889,60,13571.0,1,272,3,2.08,6.24
578344,4346,,1,292,5,2.46,12.3
556023,1240,14527.0,1,148,1,4.95,4.95
541256,205,13048.0,1,31,2,3.95,7.9
574856,214,,1,277,1,14.13,14.13
548185,202,15628.0,1,93,12,1.49,17.88
537643,1134,,1,6,1,4.21,4.21
570187,5136,,1,251,1,16.63,16.63
548014,133,17719.0,1,93,3,5.95,17.85
558874,4449,,1,170,1,1.25,1.25
579141,773,17019.0,1,295,1,7.95,7.95
561356,389,14273.0,1,189,4,4.95,19.8
548308,2729,17220.0,1,94,3,0.85,2.55
C572110,4588,14910.0,1,262,-2,0.83,-1.66
579629,4116,14963.0,1,297,13,2.08,27.04
548504,34,,1,95,3,6.25,18.75
567462,781,14446.0,1,236,3,0.85,2.55
544599,1624,,1,62,3,1.65,4.949999999999999
548529,1096,18223.0,1,95,12,2.1,25.200000000000003
554096,1084,14921.0,1,134,12,0.85,10.2
566952,39,,1,232,1,1.63,1.63
547572,215,13512.0,1,89,24,1.25,30.0
577078,1421,,1,286,1,1.63,1.63
545713,179,,1,74,6,4.13,24.78
542409,1394,15311.0,1,41,12,1.25,15.0
538524,650,,1,11,1,5.06,5.06
578515,3360,16885.0,1,292,1,1.95,1.95
554106,364,12710.0,5,134,6,2.95,17.700000000000003
551998,1521,14099.0,1,120,2,2.1,4.2
579471,120,,1,296,1,29.17,29.17
556813,78,,1,153,1,4.13,4.13
547097,2969,13021.0,1,86,12,0.85,10.2
536524,628,17572.0,1,1,6,2.95,17.700000000000003
542628,875,14426.0,1,44,4,14.95,59.8
555851,190,13050.0,1,147,2,1.25,2.5
571260,4486,16206.0,1,258,6,2.1,12.6
549316,3477,12705.0,5,102,6,8.25,49.5
581538,230,14446.0,1,305,1,1.65,1.65
579286,1883,17772.0,1,296,1,5.95,5.95
543553,1548,16359.0,1,53,25,0.42,10.5
536446,470,15983.0,1,1,2,1.65,3.3
537624,1837,12748.0,1,6,1,4.25,4.25
554814,766,16609.0,1,138,10,0.85,8.5
540977,656,,1,28,1,5.91,5.91
566849,251,16341.0,1,232,6,2.95,17.700000000000003
539595,852,,1,17,1,8.47,8.47
538156,405,15555.0,1,8,6,1.45,8.7
567298,302,12497.0,5,235,96,1.25,120.0
574442,3852,12704.0,23,275,4,4.15,16.6
542215,648,12472.0,5,40,12,0.42,5.04
557021,4407,17642.0,1,155,12,1.65,19.8
550617,1001,13376.0,1,111,24,0.65,15.6
580283,5512,16133.0,1,299,12,0.42,5.04
C556888,1271,15005.0,1,154,-1,2.95,-2.95
552528,3080,17218.0,1,123,25,0.42,10.5
550106,3349,13772.0,1,107,5,1.65,8.25
569324,4618,16912.0,1,247,4,4.15,16.6
581439,456,,1,304,2,2.46,4.92
555133,409,16810.0,1,141,6,2.1,12.6
556049,535,16013.0,1,148,16,10.95,175.2
558614,61,,1,167,2,4.13,8.26
553013,1011,,1,126,1,4.13,4.13
542611,1047,15415.0,1,43,12,1.25,15.0
576617,3364,,1,284,2,0.83,1.66
542806,1076,12836.0,1,45,2,7.95,15.9
561911,159,12534.0,5,194,3,5.95,17.85
567380,1016,12620.0,2,236,4,4.95,19.8
576932,448,15443.0,1,286,4,3.75,15.0
544207,269,,1,59,1,4.96,4.96
564221,2929,,1,214,14,0.83,11.62
581398,4820,17243.0,1,304,24,4.95,118.8
570872,5025,,1,255,1,2.46,2.46
580637,568,15033.0,1,301,10,0.42,4.2
575766,59,12856.0,1,281,3,2.95,8.850000000000001
544187,298,14107.0,1,58,6,2.95,17.700000000000003
558041,448,12422.0,8,162,6,2.95,17.700000000000003
569026,268,16101.0,1,245,10,1.65,16.5
551352,624,16637.0,1,116,6,2.95,17.700000000000003
538370,1108,16923.0,1,10,1,2.55,2.55
543713,1656,,1,54,6,10.79,64.74
577811,314,16311.0,1,290,12,1.65,19.8
C558329,1063,17900.0,1,165,-12,1.45,-17.4
548708,235,13269.0,1,97,2,9.95,19.9
543022,260,16771.0,1,46,2,5.95,11.9
545713,1801,,1,74,1,2.46,2.46
C572226,3797,15321.0,1,263,-2,4.15,-8.3
561651,2330,,1,191,2,4.13,8.26
564144,1554,13939.0,1,213,12,0.42,5.04
565841,1370,,1,225,4,0.83,3.32
547985,607,16455.0,1,93,12,1.25,15.0
565238,199,16945.0,1,221,12,2.1,25.200000000000003
546892,717,,1,83,1,2.92,2.92
569243,444,13344.0,1,247,4,4.25,17.0
566520,2450,17757.0,1,230,1,4.95,4.95
579155,4173,18101.0,1,295,1,1.65,1.65
556811,1694,14997.0,1,153,36,0.19,6.84
551650,124,13089.0,1,118,24,0.65,15.6
550016,80,15416.0,1,107,3,4.95,14.85
562378,785,15046.0,1,197,48,1.25,60.0
568531,332,16713.0,1,242,1,3.75,3.75
561033,4087,14443.0,1,187,10,1.65,16.5
538071,165,,1,8,3,1.66,4.98
545078,2139,,1,68,1,1.63,1.63
564733,3393,17841.0,1,217,5,1.65,8.25
563755,284,17612.0,1,210,12,1.25,15.0
558911,207,14189.0,1,171,4,3.75,15.0
566164,38,,1,227,3,4.13,12.39
578266,142,12748.0,1,291,2,5.75,11.5
580672,39,17920.0,1,301,2,0.85,1.7
568703,1184,12748.0,1,243,2,6.75,13.5
566308,1386,15865.0,1,229,12,0.85,10.2
555556,18,15704.0,1,145,4,5.95,23.8
574704,4055,15696.0,1,276,4,4.95,19.8
574707,4396,17107.0,1,276,1,2.08,2.08
560731,748,16149.0,1,184,12,1.65,19.8
539040,1348,17214.0,1,13,2,4.95,9.9
543814,2799,15640.0,1,55,12,2.55,30.6
558196,2198,16033.0,1,164,1,3.75,3.75
540148,355,14189.0,1,22,24,0.42,10.08
552769,59,16241.0,1,125,2,2.95,5.9
556491,4173,16794.0,1,151,1,1.65,1.65
559506,2481,,1,174,5,1.63,8.149999999999999
557639,4337,12933.0,1,159,36,0.42,15.12
570876,4995,16085.0,1,255,1,3.75,3.75
536813,246,15646.0,1,2,6,2.95,17.700000000000003
569856,4777,17068.0,1,250,10,2.08,20.8
565381,4834,16173.0,1,221,2,8.95,17.9
561894,703,14456.0,1,193,1,0.29,0.29
538656,925,17371.0,1,11,4,7.95,31.8
538177,1430,,1,9,1,3.36,3.36
569363,218,13297.0,1,247,8,4.95,39.6
559052,1785,,1,171,2,2.46,4.92
581574,46,12526.0,5,305,2,18.0,36.0
568162,356,14194.0,1,240,10,2.08,20.8
552229,1391,,1,121,2,0.83,1.66
537141,96,15570.0,1,4,3,2.95,8.850000000000001
540533,361,15005.0,1,25,3,1.95,5.85
550500,67,,1,110,1,4.13,4.13
561221,4311,15281.0,1,189,4,4.95,19.8
547789,602,14911.0,7,90,2,9.95,19.9
560826,3562,18073.0,1,185,288,1.06,305.28000000000003
541848,2783,17611.0,1,37,1,2.55,2.55
545462,1250,17567.0,1,71,12,1.25,15.0
C570867,502,12607.0,35,255,-24,1.25,-30.0
565519,46,12502.0,9,223,7,28.0,196.0
556791,85,16928.0,1,153,8,1.25,10.0
539243,2163,18116.0,1,14,1,12.75,12.75
541012,35,17019.0,1,29,3,2.95,8.850000000000001
576857,4453,12748.0,1,285,1,0.42,0.42
558262,4454,14646.0,4,165,288,0.36,103.68
559504,4403,15920.0,1,174,1,1.65,1.65
553015,1175,12748.0,1,126,1,1.25,1.25
553860,1083,17841.0,1,132,12,0.85,10.2
565465,10,15364.0,1,223,24,1.69,40.56
541530,705,14769.0,1,34,24,0.29,6.959999999999999
570215,405,16066.0,1,252,3,1.45,4.35
541518,911,12451.0,8,34,20,0.42,8.4
540526,1683,14606.0,1,25,1,2.95,2.95
547055,810,16444.0,1,85,1,2.95,2.95
536982,187,,1,3,5,5.06,25.3
568319,2450,17389.0,1,241,36,4.25,153.0
562732,177,18248.0,1,201,3,4.95,14.85
547381,33,18041.0,1,87,8,1.25,10.0
537638,862,,1,6,1,5.91,5.91
560553,834,13991.0,1,183,10,0.85,8.5
562593,69,16549.0,1,199,2,2.55,5.1
551872,858,12955.0,1,119,24,1.25,30.0
557787,372,15041.0,1,160,1,1.65,1.65
566219,370,17426.0,1,227,4,2.95,11.8
546654,1643,,1,81,2,2.08,4.16
550297,227,14056.0,1,108,1,1.45,1.45
550389,581,17284.0,1,110,3,0.65,1.95
C575082,45,12613.0,5,278,-12,0.65,-7.800000000000001
580113,5023,14766.0,1,298,10,1.95,19.5
571850,16,14698.0,1,261,2,5.95,11.9
541827,2006,,1,36,4,8.29,33.16
543541,1260,12462.0,9,52,2,9.95,19.9
556330,578,17797.0,1,150,3,0.65,1.95
551962,3479,17955.0,1,120,3,8.25,24.75
574306,5111,17481.0,1,274,2,8.25,16.5
563195,4261,,1,204,1,2.46,2.46
566431,47,18180.0,1,229,6,2.95,17.700000000000003
545059,556,14157.0,1,67,3,2.95,8.850000000000001
540848,2807,,1,28,1,4.21,4.21
554158,1372,15563.0,1,135,48,0.29,13.919999999999998
552309,419,13835.0,1,122,8,1.95,15.6
545713,407,,1,74,5,3.29,16.45
543530,3105,,1,52,2,1.46,2.92
542360,246,14701.0,1,41,1,2.95,2.95
579832,221,17434.0,1,297,3,4.95,14.85
568554,1380,12455.0,9,242,24,0.55,13.2
575731,2901,13230.0,1,280,2,0.39,0.78
566757,4778,,1,231,1,4.13,4.13
544059,28,14534.0,1,57,2,3.75,7.5
575759,1358,,2,281,1,4.95,4.95
567807,221,17027.0,1,238,2,4.95,9.9
539451,416,,1,15,2,0.85,1.7
C566205,766,16362.0,1,227,-5,0.85,-4.25
570491,638,14395.0,1,253,4,3.29,13.16
566290,599,14456.0,1,228,1,2.1,2.1
570871,1331,,1,255,1,0.83,0.83
567506,715,13038.0,1,236,6,2.95,17.700000000000003
549842,219,14738.0,1,105,3,4.95,14.85
542003,1661,15311.0,1,39,60,2.1,126.0
573870,202,14485.0,1,272,1,1.65,1.65
569014,4781,18053.0,1,245,12,1.65,19.8
548404,18,16398.0,1,95,3,5.95,17.85
544412,452,16531.0,1,60,12,1.45,17.4
537362,705,17596.0,1,5,1,0.29,0.29
541223,289,17954.0,1,30,2,1.25,2.5
545667,1353,,1,72,1,5.79,5.79
542996,688,15046.0,1,46,4,2.95,11.8
561902,4311,17404.0,20,193,96,4.95,475.2000000000001
553037,305,12471.0,5,127,12,1.95,23.4
580632,568,16360.0,1,301,24,0.42,10.08
540977,1189,,1,28,7,0.85,5.95
561209,683,,1,188,4,0.42,1.68
563848,4386,14911.0,7,210,8,0.85,6.8
550458,61,,1,110,1,4.13,4.13
545583,332,12553.0,2,72,4,3.75,15.0
553753,810,12971.0,1,132,40,2.55,102.0
568103,3796,12518.0,5,239,4,4.15,16.6
540977,116,,1,28,1,4.21,4.21
C536548,1047,12472.0,5,1,-7,1.25,-8.75
580311,102,18245.0,1,299,6,4.95,29.700000000000003
569565,4623,16722.0,1,249,25,0.42,10.5
547551,296,,1,88,1,4.96,4.96
560928,201,14852.0,1,186,6,3.75,22.5
562928,3446,15494.0,1,202,2,4.95,9.9
544672,320,14646.0,4,63,96,1.25,120.0
557213,4286,15021.0,1,156,1,1.25,1.25
566952,3864,,1,232,1,1.63,1.63
558754,4173,15518.0,1,169,2,1.65,3.3
570679,2852,17769.0,1,254,4,3.75,15.0
580262,4741,16759.0,1,299,12,0.83,9.96
C542643,540,13615.0,1,44,-6,2.95,-17.700000000000003
538418,73,17372.0,1,10,2,0.55,1.1
564075,1502,17659.0,1,212,2,9.95,19.9
537638,1663,,1,6,4,1.66,6.64
552654,1096,15756.0,1,124,1,2.1,2.1
548502,834,,1,95,22,2.46,54.12
557805,295,17651.0,1,161,10,1.65,16.5
552670,4,,1,124,2,8.29,16.58
576832,4539,13102.0,1,285,12,2.49,29.880000000000003
570657,36,14911.0,7,254,12,1.95,23.4
571669,1584,17758.0,1,260,3,0.85,2.55
544928,2128,,1,65,3,5.79,17.37
569374,4414,,1,247,1,8.29,8.29
550953,1054,,1,113,1,0.83,0.83
540992,538,17364.0,1,28,5,2.95,14.75
540848,1018,,1,28,3,2.51,7.529999999999999
578928,4486,15443.0,1,294,4,2.1,8.4
550513,3606,16928.0,1,110,40,1.25,50.0
549746,151,15251.0,1,105,96,1.25,120.0
545475,383,12415.0,3,71,96,3.39,325.44
551062,624,18092.0,1,114,24,2.55,61.2
542898,1248,16110.0,1,45,1,4.95,4.95
575477,250,,1,279,2,1.63,3.26
548894,63,,1,98,1,1.63,1.63
556964,59,16145.0,1,155,6,2.95,17.700000000000003
547892,1677,12669.0,2,92,12,1.45,17.4
557211,4316,15513.0,1,156,4,4.95,19.8
566163,38,12637.0,2,227,12,1.95,23.4
540530,1623,14755.0,1,25,12,1.45,17.4
C567949,4158,13435.0,1,239,-3,3.75,-11.25
576695,5167,16469.0,1,285,1,5.95,5.95
537034,275,13081.0,1,3,12,4.65,55.8
541238,2708,16746.0,1,31,1,3.95,3.95
566238,4901,17377.0,1,228,1,4.95,4.95
544685,67,13285.0,1,63,10,1.65,16.5
572281,340,17211.0,1,264,2,8.25,16.5
567711,166,15603.0,1,238,48,0.72,34.56
553571,1035,17287.0,1,131,1,2.95,2.95
571905,235,12370.0,19,261,4,9.95,39.8
544157,539,12372.0,18,58,6,2.25,13.5
566495,959,15529.0,1,230,6,0.42,2.52
546984,639,15019.0,1,84,2,8.5,17.0
576778,1832,16085.0,1,285,1,0.79,0.79
550496,3562,,1,110,16,2.46,39.36
560986,4664,,1,186,24,0.0,0.0
558709,599,17338.0,1,168,2,2.1,4.2
540848,2081,,1,28,2,8.47,16.94
544286,1460,13151.0,1,59,8,1.25,10.0
567473,4172,17841.0,1,236,2,1.65,3.3
538783,427,14961.0,1,12,12,0.85,10.2
567639,4015,15290.0,1,237,4,4.95,19.8
548712,640,17050.0,1,97,1,8.5,8.5
556473,4156,17265.0,1,151,2,1.65,3.3
541406,163,14657.0,1,32,3,1.65,4.949999999999999
575851,4584,14662.0,1,281,1,4.95,4.95
579297,34,,1,296,2,6.25,12.5
578022,319,17371.0,1,290,1,4.25,4.25
570488,629,14096.0,1,253,6,5.79,34.74
566060,4894,,1,226,1,2.08,2.08
567668,4893,,1,237,2,0.83,1.66
543274,1893,17392.0,1,49,16,2.1,33.6
578921,1988,13596.0,1,294,1,0.39,0.39
C568560,4972,14299.0,1,242,-1,4.95,-4.95
557260,1151,17932.0,1,157,24,0.85,20.4
C570290,419,14665.0,1,253,-8,1.95,-15.6
567184,1122,16033.0,1,234,1,1.95,1.95
551462,237,15210.0,1,116,2,5.95,11.9
574445,1751,15722.0,1,275,6,1.25,7.5
578518,410,14606.0,1,292,12,0.85,10.2
564742,267,17346.0,1,217,1,1.65,1.65
542664,1442,,1,44,1,1.63,1.63
566060,380,,1,226,1,2.46,2.46
542121,1590,17515.0,1,39,2,12.75,25.5
578852,4286,17841.0,1,294,12,1.25,15.0
545653,1338,15311.0,1,72,3,2.95,8.850000000000001
574880,387,18016.0,1,277,5,2.1,10.5
569202,816,,1,245,1,0.79,0.79
566520,1656,17757.0,1,230,2,4.95,9.9
576618,5140,,1,284,2,12.46,24.92
555924,410,,1,147,1,1.63,1.63
580259,10,13705.0,1,299,32,1.69,54.08
573585,4085,,1,271,4,4.13,16.52
564860,816,17725.0,1,219,24,0.19,4.5600000000000005
562783,1503,13018.0,1,201,25,0.42,10.5
544476,1018,14796.0,1,62,12,1.25,15.0
547809,1419,12748.0,1,90,1,3.75,3.75
550360,759,14978.0,1,110,6,7.95,47.7
567668,1280,,1,237,1,3.29,3.29
574686,4263,17608.0,1,276,1,2.95,2.95
574959,4585,17886.0,1,278,1,1.25,1.25
554030,4110,16497.0,1,133,2,9.95,19.9
574871,4823,14527.0,1,277,4,4.95,19.8
559162,1687,,1,172,18,0.83,14.94
562934,96,,1,202,2,5.79,11.58
539437,145,,1,15,2,4.21,8.42
559506,1435,,1,174,2,0.83,1.66
577804,4771,17432.0,1,289,1,4.15,4.15
570503,5026,17965.0,1,254,1,3.75,3.75
543737,1098,12477.0,5,54,12,1.25,15.0
568908,870,16653.0,1,244,12,0.85,10.2
558262,69,14646.0,4,165,60,2.1,126.0
569140,1421,14503.0,1,245,12,0.85,10.2
549740,3865,15981.0,1,105,20,0.85,17.0
572650,778,15506.0,1,266,3,2.08,6.24
541086,213,16503.0,1,29,2,6.75,13.5
563100,33,12381.0,6,204,12,1.25,15.0
541827,2582,,1,36,9,2.46,22.14
569401,4820,15111.0,1,248,3,5.95,17.85
565617,959,,1,223,1,0.83,0.83
564729,102,13137.0,1,217,2,4.95,9.9
581191,1733,17449.0,1,303,1,0.29,0.29
560209,1217,15004.0,1,180,2,2.1,4.2
551719,2495,,1,118,1,4.96,4.96
565234,4486,,1,221,1,4.13,4.13
579673,990,18283.0,1,297,2,0.85,1.7
567656,1622,14096.0,1,237,1,5.79,5.79
569031,4084,,1,245,2,2.08,4.16
578273,29,14335.0,5,291,1,3.75,3.75
554151,2296,14049.0,1,135,1,2.1,2.1
539437,1219,,1,15,2,4.21,8.42
566258,4088,13124.0,1,228,1,12.5,12.5
536536,730,18144.0,1,1,12,1.25,15.0
576923,1119,12753.0,15,286,50,7.08,354.0
537192,627,16402.0,1,4,2,2.95,5.9
552211,1468,12709.0,5,121,24,1.25,30.0
553162,4055,,1,127,2,10.79,21.58
574074,3014,,1,273,2,5.79,11.58
542112,715,13168.0,1,39,4,2.95,11.8
562046,4478,12378.0,8,195,12,0.83,9.96
570871,1162,,1,255,1,2.46,2.46
576339,437,14096.0,1,283,17,2.46,41.82
550785,393,15517.0,1,112,3,2.95,8.850000000000001
545980,118,14730.0,1,75,1,5.95,5.95
559693,4395,,1,176,2,2.08,4.16
559138,3024,16919.0,1,172,6,0.39,2.34
556415,4144,12409.0,8,150,24,8.25,198.0
569726,127,17419.0,1,250,18,2.95,53.1
537819,708,15298.0,1,7,12,1.25,15.0
560398,1138,12731.0,2,182,12,0.42,5.04
580884,47,15907.0,1,302,1,2.95,2.95
539039,36,13124.0,1,13,6,1.95,11.7
571909,891,15006.0,1,261,2,1.25,2.5
563259,341,17958.0,1,206,6,4.25,25.5
561911,533,12534.0,5,194,16,1.25,20.0
570872,1105,,1,255,8,0.83,6.64
566757,541,,1,231,1,1.63,1.63
540848,2216,,1,28,1,4.21,4.21
571306,4741,16701.0,1,259,36,0.83,29.88
579270,378,15783.0,1,296,6,2.1,12.6
577300,2023,16924.0,1,287,24,0.29,6.959999999999999
580985,530,17389.0,1,302,60,3.39,203.4
555150,1534,,1,141,1,1.25,1.25
543629,164,,1,53,1,1.63,1.63
536623,552,15601.0,1,2,24,0.42,10.08
536984,1750,17841.0,1,3,1,1.25,1.25
553935,542,15856.0,1,133,12,0.42,5.04
542600,2692,16923.0,1,43,9,0.85,7.649999999999999
575366,3519,14621.0,1,279,1,16.95,16.95
552211,1019,12709.0,5,121,32,0.85,27.2
560992,1,18161.0,1,186,6,2.95,17.700000000000003
556282,701,15679.0,1,150,24,0.29,6.959999999999999
545333,361,,1,69,3,4.13,12.39
563620,2699,13014.0,1,209,6,2.55,15.3
580738,2999,17666.0,1,302,48,0.79,37.92
539859,2673,17905.0,1,19,15,2.1,31.5
546164,127,15939.0,1,77,24,2.95,70.80000000000001
575139,1415,16863.0,1,278,18,1.25,22.5
540473,1632,17284.0,1,24,2,2.55,5.1
567983,82,15714.0,1,239,20,2.08,41.6
572753,394,15856.0,1,266,12,1.25,15.0
548704,1372,17381.0,1,97,576,0.21,120.96
574733,3607,17082.0,1,276,48,1.25,60.0
568698,751,14911.0,7,243,12,0.85,10.2
564335,4429,15800.0,1,214,3,2.08,6.24
560925,37,15061.0,1,186,64,1.65,105.6
561321,2495,13668.0,1,189,1,2.55,2.55
569248,4601,12886.0,1,247,6,2.55,15.3
536557,213,17841.0,1,1,1,6.75,6.75
566969,932,15205.0,1,232,12,0.85,10.2
541406,3115,14657.0,1,32,9,1.25,11.25
553521,1483,,1,130,2,0.0,0.0
546413,3349,17961.0,1,78,1,1.65,1.65
557484,1634,14796.0,1,158,2,1.25,2.5
573130,36,13969.0,1,268,12,1.95,23.4
561214,243,,1,188,1,1.25,1.25
558197,1739,14298.0,1,164,160,0.06,9.6
575138,633,,1,278,1,8.29,8.29
578844,1415,,1,293,2,2.46,4.92
580652,108,17511.0,1,301,200,0.39,78.0
580955,4638,12442.0,9,302,25,0.42,10.5
581149,261,15471.0,1,303,2,0.39,0.78
558123,4055,15834.0,1,164,3,4.95,14.85
575221,56,12949.0,1,279,6,2.95,17.700000000000003
541217,188,17402.0,1,30,20,3.75,75.0
540977,970,,1,28,5,1.66,8.299999999999999
576329,380,,1,283,2,2.46,4.92
546502,610,16005.0,1,80,3,0.85,2.55
536874,271,16891.0,1,3,2,2.95,5.9
546367,1614,15513.0,1,78,10,1.25,12.5
568065,209,16240.0,1,239,12,2.1,25.200000000000003
541423,317,,1,32,1,0.83,0.83
569700,5067,,1,249,1,2.46,2.46
542382,59,14738.0,1,41,12,2.95,35.400000000000006
542001,354,14298.0,1,39,48,1.25,60.0
560926,3397,,1,186,3,8.29,24.87
542401,1225,14541.0,1,41,3,1.65,4.949999999999999
563745,3544,15159.0,1,210,48,0.39,18.72
564967,4116,17659.0,1,219,6,2.08,12.48
546239,1,14064.0,1,77,6,2.95,17.700000000000003
574844,848,12783.0,11,277,3,4.95,14.85
544933,1047,12633.0,5,66,12,1.25,15.0
557744,2189,15194.0,1,160,16,0.42,6.72
573338,4793,14546.0,1,270,8,0.63,5.04
544681,128,,1,63,1,3.29,3.29
559469,132,15182.0,1,174,4,3.95,15.8
540700,266,12393.0,3,27,20,1.65,33.0
553879,1262,15791.0,1,132,8,1.95,15.6
563909,624,15701.0,1,211,2,2.95,5.9
541497,2940,,1,33,2,0.42,0.84
549306,535,16837.0,1,102,2,12.75,25.5
541423,206,,1,32,1,4.13,4.13
540551,333,,1,26,3,1.66,4.98
541999,289,,1,39,1,2.46,2.46
581449,1967,12748.0,1,304,1,1.25,1.25
575137,5323,13090.0,1,278,12,1.25,15.0
577320,4894,13880.0,1,287,12,0.85,10.2
542621,1540,12528.0,5,44,4,3.75,15.0
559162,973,,1,172,29,0.83,24.07
554957,955,,1,139,1,75.75,75.75
567661,640,13959.0,1,237,2,8.5,17.0
561654,1681,14973.0,1,191,12,0.85,10.2
563613,1795,12688.0,22,209,12,1.69,20.28
581003,33,14911.0,7,303,24,1.25,30.0
575706,424,14713.0,1,280,12,0.42,5.04
562046,159,12378.0,8,195,3,5.95,17.85
574696,4197,13634.0,1,276,3,4.15,12.45
575602,58,17059.0,1,280,1,4.25,4.25
C559983,4134,14562.0,1,179,-12,3.75,-45.0
540543,53,14395.0,1,25,2,5.95,11.9
576326,4267,16504.0,1,283,4,2.08,8.32
555653,1130,17673.0,1,146,6,2.1,12.6
567297,557,15594.0,1,235,3,4.95,14.85
544186,1406,,1,58,1,20.79,20.79
571268,3696,15351.0,1,258,5,2.08,10.4
565198,67,16729.0,1,220,10,1.65,16.5
558623,1456,12395.0,13,167,6,2.55,15.3
547971,3393,17917.0,1,92,3,1.65,4.949999999999999
558959,3479,16103.0,1,171,20,7.45,149.0
564898,642,14513.0,1,219,192,0.72,138.24
554560,624,13317.0,1,137,6,2.95,17.700000000000003
547399,62,,1,87,1,4.13,4.13
559802,17,,1,177,1,20.79,20.79
575193,288,12681.0,2,279,12,1.45,17.4
C540164,1923,14911.0,7,22,-6,2.55,-15.3
555581,10,13865.0,1,146,8,1.69,13.52
577358,4448,,1,287,1,1.25,1.25
575491,4796,15531.0,1,279,12,1.95,23.4
561073,202,13408.0,1,187,48,1.45,69.6
577733,4549,15163.0,1,289,1,2.89,2.89
575390,4485,12971.0,1,279,12,1.25,15.0
574059,5314,14646.0,4,273,1,1.25,1.25
547788,1005,,1,90,2,2.46,4.92
568553,82,15674.0,1,242,10,2.08,20.8
556082,794,,1,148,1,4.13,4.13
